art,speisewert,speisewert,vorkommen,vorkommen,vorkommen,vorkommen,hut_groesse,hut_groesse,hut_groesse,hut_oberflaeche,hut_oberflaeche,hut_rand,hut_rand,hut_rand,hut_rand,sporenanlage,sporenanlage,sporenanlage,sporenanlage,lamellen_haltung,lamellen_haltung,lamellen_haltung,lamellen_haltung,ring,ring,ring,ring,ring,ring,stiel,stiel,stiel,stiel,geruch,geruch,geruch
art,essbar,giftig,laubwald,nadelwald,mischwald,wiese,klein,mittel,gross,trocken,feucht,glatt,wellig,gerieft,kein,lamellen,roehren,fruchtschicht,fruchtmasse,frei,herablaufend,angewachsen,kein,haengend,aufsteigend,doppelt,gerieft,fleischig,kein,voll,hohl,wattig,kein,angenehm,geruchlos,stinkend
Echter Pfifferling,1,0,0.333333333,0.333333333,0.333333333,0,0.125,0.875,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Fichten-Reizker,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Fichten-Steinpilz,1,0,0,0,1,0,0,0.285714286,0.714285714,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Flaschen-Staeubling,1,0,0.333333333,0.333333333,0.333333333,0,0.25,0.75,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
Fliegenpilz,0,1,0.333333333,0.333333333,0.333333333,0,0,0.5,0.5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Frauen-Taeubling,1,0,0.333333333,0.333333333,0.333333333,0,0,0.545454545,0.454545455,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Gemeines Stockschwaemmchen,1,0,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Gruener Knollenblaetterpilz,0,1,1,0,0,0,0,0.75,0.25,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Herbsttrompete,1,0,1,0,0,0,0,0.75,0.25,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
Koernchen-Roehrling,1,0,0,1,0,0,0.142857143,0.857142857,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Maronen-Roehling,1,0,0,0.5,0.5,0,0,0.583333333,0.416666667,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Nebelkappe,0,1,0.333333333,0.333333333,0.333333333,0,0,0.444444444,0.555555556,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Perlpilz,1,0,0,0.5,0.5,0,0,0.5,0.5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Riesenschirmpilz,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Roetlicher Gallerttrichter,1,0,0.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Rotfuss-Roehrling,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Schopf-Tintling,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Hallimasch,1,0,0,0,1,0,0,0.714285714,0.285714286,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Spitz-Morchel,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Wiesen-Egerling,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
unbekannt,0.5,0.5,0.3,0.3,0.2,0.2,0.6,0.3,0.1,0.8,0.2,0.5,0.15,0.15,0.2,0.4,0.3,0.2,0.1,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.2,0.2,0.1,0.5,0.3,0.2
